tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-birth-hatch-latitude,animal-birth-hatch-longitude,animal-comments,animal-death-comments,animal-exact-date-of-birth,animal-group-id,animal-latest-date-born,animal-life-stage,animal-marker-id,animal-mass,animal-mates,animal-mortality-latitude,animal-mortality-longitude,animal-mortality-type,animal-nickname,animal-offspring,animal-parents,animal-reproductive-condition,animal-ring-id,animal-sex,animal-siblings,animal-taxon-detail,attachment-type,behavior-according-to,capture-handling-time,capture-latitude,capture-longitude,capture-timestamp,data-processing-software,dba-comments,deploy-off-latitude,deploy-off-longitude,deploy-off-measurements,deploy-off-person,deploy-off-sampling,deploy-on-latitude,deploy-on-longitude,deploy-on-measurements,deploy-on-person,deploy-on-sampling,deployment-comments,deployment-end-comments,deployment-end-type,deployment-id,duty-cycle,geolocator-calibration,geolocator-light-threshold,geolocator-sensor-comments,geolocator-sun-elevation-angle,georeference-protocol,habitat-according-to,locality-according-to,location-accuracy-comments,manipulation-comments,manipulation-type,outlier-comments,study-site,tag-beacon-frequency,tag-comments,tag-failure-comments,tag-firmware,tag-manufacturer-name,tag-mass,tag-model,tag-processing-type,tag-production-date,tag-readout-method,tag-serial-no
2011GoM-MK10-05685,2011GoM-Pma-05921,Physeter macrocephalus,2011-07-20 19:50:00.000,2011-08-18 04:35:15.000,,,,,,,,adult,,,,,,,,,,,,f,,,implant,,,,,,,,,,,,,28.53905,-88.02323,,,,,,,2011GoM-05685,,,,,,,,,,,none,,,,,,,Wildlife Computers,,MK10 PAT,,,satellite,
2011GoM-MK10-05644,2011GoM-Pma-05910,Physeter macrocephalus,2011-07-23 15:55:00.000,2011-08-22 13:07:24.000,,,,,,,,adult,,,,,,,,,,,,f,,,implant,,,,,,,,,,,,,28.55545,-88.81815,,,,,,,2011GoM-05644,,,,,,,,,,,none,,,,,,,Wildlife Computers,,MK10 PAT,,,satellite,
2011GoM-ST15-05910,2011GoM-Pma-05910,Physeter macrocephalus,2011-07-23 15:55:00.000,2012-02-13 19:15:25.000,,,,,,,,adult,,,,,,,,,,,,f,,,implant,,,,,,,,,,,,,28.55545,-88.81815,,,,,,,2011GoM-05910,,,,,,,,,,,none,,,,,,,"Telonics, Inc",,ST15,,,satellite,
2011GoM-ST15-05655,2011GoM-Pma-05655,Physeter macrocephalus,2011-07-23 17:08:00.000,2011-08-25 14:43:00.000,,,,,,,,adult,,,,,,,,,,,,f,,,implant,,,,,,,,,,,,,28.55273,-88.80983,,,,,,,2011GoM-05655,,,,,,,,,,,none,,,,,,,"Telonics, Inc",,ST15,,,satellite,
2011GoM-MK10-05701,2011GoM-Pma-05655,Physeter macrocephalus,2011-07-23 17:08:00.000,2011-08-17 03:22:33.000,,,,,,,,adult,,,,,,,,,,,,f,,,implant,,,,,,,,,,,,,28.55273,-88.80983,,,,,,,2011GoM-05701,,,,,,,,,,,none,,,,,,,Wildlife Computers,,MK10 PAT,,,satellite,
2011GoM-MK10-05838,2010GoM-Pma-00849,Physeter macrocephalus,2011-07-23 20:04:00.000,2011-08-02 11:12:04.000,,,,,,,,adult,,,,,,,,,,,,f,,,implant,,,,,,,,,,,,,28.53992,-88.78056,,,,,,,2011GoM-05838,,,,,,,,,,,none,,,,,,,Wildlife Computers,,MK10 PAT,,,satellite,
2013GoM-MK10-00833,2003GoM-Pma-00843,Physeter macrocephalus,2013-07-10 18:55:00.000,2013-07-28 10:42:21.000,,,,,,,,adult,,,,,,,,,,,,f,,,implant,,,,,,,,,,,,,28.05697,-89.61293,,,,,,,2013GoM-00833,,,,,,,,,,,none,,,,,,,Wildlife Computers,,MK10 PAT,,,satellite,
2013GoM-MK10-00840,2013GoM-Pma-00840,Physeter macrocephalus,2013-07-14 19:38:00.000,2013-08-15 08:07:35.000,,,,,,,,adult,,,,,,,,,,,, ,,,implant,,,,,,,,,,,,,28.80306,-88.30253,,,,,,,2013GoM-00840,,,,,,,,,,,none,,,,,,,Wildlife Computers,,MK10 PAT,,,satellite,
2013GoM-MK10-05640,2013GoM-Pma-05640,Physeter macrocephalus,2013-07-29 18:26:00.000,2013-08-28 02:27:13.000,,,,,,,,adult,,,,,,,,,,,, ,,,implant,,,,,,,,,,,,,29.11204,-87.75478,,,,,,,2013GoM-05640,,,,,,,,,,,none,,,,,,,Wildlife Computers,,MK10 PAT,,,satellite,
2013GoM-MK10-05790,2013GoM-Pma-05790,Physeter macrocephalus,2013-07-30 16:18:00.000,2013-07-31 10:15:00.000,,,,,,,,adult,,,,,,,,,,,, ,,,implant,,,,,,,,,,,,,28.91024,-88.32565,,,,,,,2013GoM-05790,,,,,,,,,,,none,,,,,,,Wildlife Computers,,MK10 PAT,,,satellite,
2013GoM-MK10-05654,2010GoM-Pma-05800,Physeter macrocephalus,2013-08-02 23:06:00.000,2013-08-28 12:03:24.000,,,,,,,,adult,,,,,,,,,,,,m,,,implant,,,,,,,,,,,,,28.83822,-88.35561,,,,,,,2013GoM-05654,,,,,,,,,,,none,,,,,,,Wildlife Computers,,MK10 PAT,,,satellite,
2013GoM-MK10-05838,2003GoM-Pma-00843,Physeter macrocephalus,2013-08-04 21:08:00.000,2013-08-28 09:55:51.000,,,,,,,,adult,,,,,,,,,,,,f,,,implant,,,,,,,,,,,,,28.35447,-89.09283,,,,,,,2013GoM-05838,,,,,,,,,,,none,,,,,,,Wildlife Computers,,MK10 PAT,,,satellite,
2013GoM-MK10-05701,2013GoM-Pma-05701,Physeter macrocephalus,2013-08-05 21:17:00.000,2013-09-19 03:09:46.000,,,,,,,,adult,,,,,,,,,,,,f,,,implant,,,,,,,,,,,,,27.75784,-89.63947,,,,,,,2013GoM-05701,,,,,,,,,,,none,,,,,,,Wildlife Computers,,MK10 PAT,,,satellite,
